LocalizedName, BlockState
§f熔融氟锂铍盐-氟化锎-252蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融TBU燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化TBU燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-氟化TBU燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融低浓缩锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化低浓缩锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-低浓缩氟化锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融高浓缩锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟化高浓缩锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-高浓缩氟化锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭TBU燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化TBU燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭TBU燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化铀-233燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化铀-235燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化镎-236燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化钚-239燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化钚-241燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化镅-242燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化锔-243燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化锔-245燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化锔-247燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化锫-248燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化锎-249燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭低浓缩锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化低浓缩锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭低浓缩氟化锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭高浓缩锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融枯竭氟化高浓缩锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融氟锂铍盐-枯竭高浓缩氟化锎-251燃料蓄水槽, openblocks:tank[orientation=xp_yp]
§f不稳定红石蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-红石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-红石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融石英蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-石英混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-石英混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融金蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-金混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-金混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f充能液态荧石蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-荧石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-荧石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融青金石蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-青金石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-青金石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融钻石蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-钻石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-钻石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-氦混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-氦混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f谐振末影珍珠蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-末影混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-末影混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f极寒之凛冰蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-凛冰混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-凛冰混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融铁蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-铁混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-铁混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融绿宝石蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-绿宝石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-绿宝石混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融铜蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-铜混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-铜混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融锡蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-锡混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-锡混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融镁蓄水槽, openblocks:tank[orientation=xp_yp]
§f共晶钠钾-镁混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§f热共晶钠钾-镁混合物蓄水槽, openblocks:tank[orientation=xp_yp]
§fSoy Milk蓄水槽, openblocks:tank[orientation=xp_yp]
§fZunda SoyMilk蓄水槽, openblocks:tank[orientation=xp_yp]
§fBittern蓄水槽, openblocks:tank[orientation=xp_yp]
§fSoy Sauce蓄水槽, openblocks:tank[orientation=xp_yp]
§fApple Juice蓄水槽, openblocks:tank[orientation=xp_yp]
§fApple Cider蓄水槽, openblocks:tank[orientation=xp_yp]
§fSilken Nectar蓄水槽, openblocks:tank[orientation=xp_yp]
§f蜂蜜蓄水槽, openblocks:tank[orientation=xp_yp]
§fMead Must蓄水槽, openblocks:tank[orientation=xp_yp]
§fMead蓄水槽, openblocks:tank[orientation=xp_yp]
§fPotent Mead蓄水槽, openblocks:tank[orientation=xp_yp]
§fExtended Mead蓄水槽, openblocks:tank[orientation=xp_yp]
§fMagical Mead蓄水槽, openblocks:tank[orientation=xp_yp]
§fIntoxicated Mead蓄水槽, openblocks:tank[orientation=xp_yp]
§fHyper-Extended Mead蓄水槽, openblocks:tank[orientation=xp_yp]
§f紫葡萄汁蓄水槽, openblocks:tank[orientation=xp_yp]
§f紫葡萄酒蓄水槽, openblocks:tank[orientation=xp_yp]
§f仙馔密酒蓄水槽, openblocks:tank[orientation=xp_yp]
§f波特酒蓄水槽, openblocks:tank[orientation=xp_yp]
§f绿葡萄汁蓄水槽, openblocks:tank[orientation=xp_yp]
§f绿葡萄酒蓄水槽, openblocks:tank[orientation=xp_yp]
§f红葡萄汁蓄水槽, openblocks:tank[orientation=xp_yp]
§f红葡萄酒蓄水槽, openblocks:tank[orientation=xp_yp]
§f拉格啤酒蓄水槽, openblocks:tank[orientation=xp_yp]
§f麦芽酒蓄水槽, openblocks:tank[orientation=xp_yp]
§f酪乳蓄水槽, openblocks:tank[orientation=xp_yp]
§f奶油蓄水槽, openblocks:tank[orientation=xp_yp]
§f凝乳蓄水槽, openblocks:tank[orientation=xp_yp]
§f凝乳酶蓄水槽, openblocks:tank[orientation=xp_yp]
§f脱脂奶蓄水槽, openblocks:tank[orientation=xp_yp]
§f乳清蓄水槽, openblocks:tank[orientation=xp_yp]
§f巴氏奶蓄水槽, openblocks:tank[orientation=xp_yp]
§fKumis Fermented蓄水槽, openblocks:tank[orientation=xp_yp]
§fKumis Potent蓄水槽, openblocks:tank[orientation=xp_yp]
§fKumis Extended蓄水槽, openblocks:tank[orientation=xp_yp]
§fKumis Hyper-Extended蓄水槽, openblocks:tank[orientation=xp_yp]
§fKumis Potent Extended蓄水槽, openblocks:tank[orientation=xp_yp]
§fKumis Potent Hyper-Extended蓄水槽, openblocks:tank[orientation=xp_yp]
§fKumis蓄水槽, openblocks:tank[orientation=xp_yp]
§f里科塔奶酪蓄水槽, openblocks:tank[orientation=xp_yp]
§f古冈左拉奶酪蓄水槽, openblocks:tank[orientation=xp_yp]
§f瑞士奶酪蓄水槽, openblocks:tank[orientation=xp_yp]
§f阿彭策尔奶酪蓄水槽, openblocks:tank[orientation=xp_yp]
§f艾斯阿格奶酪蓄水槽, openblocks:tank[orientation=xp_yp]
§f帕马森奶酪蓄水槽, openblocks:tank[orientation=xp_yp]
§f切达奶酪蓄水槽, openblocks:tank[orientation=xp_yp]
§f蒙特瑞奶酪蓄水槽, openblocks:tank[orientation=xp_yp]
§fGouda Cheese蓄水槽, openblocks:tank[orientation=xp_yp]
§fProvolone Cheese蓄水槽, openblocks:tank[orientation=xp_yp]
§fRice Water蓄水槽, openblocks:tank[orientation=xp_yp]
§fSake Mash蓄水槽, openblocks:tank[orientation=xp_yp]
§fSake蓄水槽, openblocks:tank[orientation=xp_yp]
§f爬行者酸液蓄水槽, openblocks:tank[orientation=xp_yp]
§f液态水晶蓄水槽, openblocks:tank[orientation=xp_yp]
§f等离子物质蓄水槽, openblocks:tank[orientation=xp_yp]
§f熔融三钛合金蓄水槽, openblocks:tank[orientation=xp_yp]
§f六氟化铀蓄水槽, openblocks:tank[orientation=xp_yp]
§f有毒废液蓄水槽, openblocks:tank[orientation=xp_yp]
§f焦油蓄水槽, openblocks:tank[orientation=xp_yp]
§fWhite Paint蓄水槽, openblocks:tank[orientation=xp_yp]
§fYellow Paint蓄水槽, openblocks:tank[orientation=xp_yp]
§fRed Paint蓄水槽, openblocks:tank[orientation=xp_yp]
狼战利品, openblocks:trophy[orientation=xp_yp]
鸡战利品, openblocks:trophy[orientation=xp_yp]
牛战利品, openblocks:trophy[orientation=xp_yp]
爬行者战利品, openblocks:trophy[orientation=xp_yp]
骷髅战利品, openblocks:trophy[orientation=xp_yp]
僵尸猪人战利品, openblocks:trophy[orientation=xp_yp]
蝙蝠战利品, openblocks:trophy[orientation=xp_yp]
僵尸战利品, openblocks:trophy[orientation=xp_yp]
女巫战利品, openblocks:trophy[orientation=xp_yp]
村民战利品, openblocks:trophy[orientation=xp_yp]
豹猫战利品, openblocks:trophy[orientation=xp_yp]
羊战利品, openblocks:trophy[orientation=xp_yp]
烈焰人战利品, openblocks:trophy[orientation=xp_yp]
蠹虫战利品, openblocks:trophy[orientation=xp_yp]
蜘蛛战利品, openblocks:trophy[orientation=xp_yp]
洞穴蜘蛛战利品, openblocks:trophy[orientation=xp_yp]
史莱姆战利品, openblocks:trophy[orientation=xp_yp]
恶魂战利品, openblocks:trophy[orientation=xp_yp]
末影人战利品, openblocks:trophy[orientation=xp_yp]
岩浆怪战利品, openblocks:trophy[orientation=xp_yp]
鱿鱼战利品, openblocks:trophy[orientation=xp_yp]
哞菇战利品, openblocks:trophy[orientation=xp_yp]
铁傀儡战利品, openblocks:trophy[orientation=xp_yp]
雪傀儡战利品, openblocks:trophy[orientation=xp_yp]
猪战利品, openblocks:trophy[orientation=xp_yp]
末影螨战利品, openblocks:trophy[orientation=xp_yp]
守卫者战利品, openblocks:trophy[orientation=xp_yp]
兔子战利品, openblocks:trophy[orientation=xp_yp]
北极熊战利品, openblocks:trophy[orientation=xp_yp]
潜影贝战利品, openblocks:trophy[orientation=xp_yp]
马战利品, openblocks:trophy[orientation=xp_yp]
骷髅马战利品, openblocks:trophy[orientation=xp_yp]
僵尸马战利品, openblocks:trophy[orientation=xp_yp]
驴战利品, openblocks:trophy[orientation=xp_yp]
骡战利品, openblocks:trophy[orientation=xp_yp]
羊驼战利品, openblocks:trophy[orientation=xp_yp]
远古守卫者战利品, openblocks:trophy[orientation=xp_yp]
凋灵骷髅战利品, openblocks:trophy[orientation=xp_yp]
流髑战利品, openblocks:trophy[orientation=xp_yp]
尸壳战利品, openblocks:trophy[orientation=xp_yp]
僵尸村民战利品, openblocks:trophy[orientation=xp_yp]
唤魔者战利品, openblocks:trophy[orientation=xp_yp]
恼鬼战利品, openblocks:trophy[orientation=xp_yp]
卫道士战利品, openblocks:trophy[orientation=xp_yp]
捕兽夹, openblocks:beartrap[orientation=zn_yp]
洒水器, openblocks:sprinkler[level=1,orientation=zn_yp,static=true]
投掷加农炮, openblocks:cannon[orientation=xp_yp]
虚空漏斗, openblocks:vacuum_hopper[orientation=xp_yp]
海绵, openblocks:sponge[orientation=xp_yp]
石制大型按钮, openblocks:big_button[orientation=xp_yn,powered=false]
木质大型按钮, openblocks:big_button_wood[orientation=xp_yn,powered=false]
魔法铅笔, openblocks:imaginary[orientation=xp_yp,shape=block,type=pencil]
魔法蜡笔, openblocks:imaginary[orientation=zn_yp,shape=block,type=pencil]
风扇, openblocks:fan[orientation=xp_yp,static=true]
经验装瓶器, openblocks:xp_bottler[orientation=xp_yp]
村庄高亮仪, openblocks:village_highlighter[orientation=xp_yp,powered=false]
铺路石, openblocks:path[orientation=xp_yp]
自动铁砧, openblocks:auto_anvil[orientation=zn_yp]
自动附魔台, openblocks:auto_enchantment_table[orientation=xp_yp]
经验地漏, openblocks:xp_drain[orientation=xp_yp]
方块采掘器, openblocks:block_breaker[orientation=xp_yn,powered=false]
方块放置器, openblocks:block_placer[orientation=xp_yn,powered=false]
物品投掷器, openblocks:item_dropper[orientation=xp_yn]
绳梯, openblocks:rope_ladder[orientation=xp_yp]
捐助站, openblocks:donation_station[orientation=xp_yp]
调色器, openblocks:paint_mixer[orientation=xp_yp,static=true]
画布, openblocks:canvas[material=sponge,orientation=xp_yp]
颜料罐, openblocks:paint_can[orientation=xp_yp]
高度图投影仪, openblocks:projector[active=false,orientation=xp_yp]
绘图桌, openblocks:drawing_table[orientation=xp_yp]
天空方块, openblocks:sky[inverted=false,orientation=xp_yp,powered=false]
天空方块, openblocks:sky[inverted=true,orientation=xp_yp,powered=false]
经验莲蓬头, openblocks:xp_shower[orientation=xp_yp,powered=false]
金蛋, openblocks:golden_egg[orientation=xp_yp]
脚手架, openblocks:scaffolding[orientation=xp_yp]
赤铁矿, geolosys:ore[variant=hematite]
褐铁矿, geolosys:ore[variant=limonite]
孔雀石, geolosys:ore[variant=malachite]
蓝铜矿, geolosys:ore[variant=azurite]
锡石, geolosys:ore[variant=cassiterite]
硫锡铅矿, geolosys:ore[variant=teallite]
方铅矿, geolosys:ore[variant=galena]
铝土矿, geolosys:ore[variant=bauxite]
铂矿, geolosys:ore[variant=platinum]
钙铀云母, geolosys:ore[variant=autunite]
闪锌矿, geolosys:ore[variant=sphalerite]
赤铁矿样本, geolosys:ore_sample[variant=hematite]
褐铁矿样本, geolosys:ore_sample[variant=limonite]
孔雀石样本, geolosys:ore_sample[variant=malachite]
蓝铜矿样本, geolosys:ore_sample[variant=azurite]
锡石样本, geolosys:ore_sample[variant=cassiterite]
硫锡铅矿样本, geolosys:ore_sample[variant=teallite]
方铅矿样本, geolosys:ore_sample[variant=galena]
铝土矿样本, geolosys:ore_sample[variant=bauxite]
铂矿样本, geolosys:ore_sample[variant=platinum]
