UniqueId, UnlocalizedName, LocalizedName(if exist)
fuel_lep_239_fluoride, fuel_lep_239_fluoride, 熔融氟化低浓缩钚-239燃料
fuel_lep_239_fluoride_flibe, fuel_lep_239_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化钚-239燃料
fuel_lep_241, fuel_lep_241, 熔融低浓缩钚-241燃料
fuel_lep_241_fluoride, fuel_lep_241_fluoride, 熔融氟化低浓缩钚-241燃料
fuel_lep_241_fluoride_flibe, fuel_lep_241_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化钚-241燃料
fuel_leu_233, fuel_leu_233, 熔融低浓缩铀-233燃料
fuel_leu_233_fluoride, fuel_leu_233_fluoride, 熔融氟化低浓缩铀-233燃料
fuel_leu_233_fluoride_flibe, fuel_leu_233_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化铀-233燃料
fuel_leu_235, fuel_leu_235, 熔融低浓缩铀-235燃料
fuel_leu_235_fluoride, fuel_leu_235_fluoride, 熔融氟化低浓缩铀-235燃料
fuel_leu_235_fluoride_flibe, fuel_leu_235_fluoride_flibe, 熔融氟锂铍盐-低浓缩氟化铀-235燃料
fuel_tbu, fuel_tbu, 熔融TBU燃料
fuel_tbu_fluoride, fuel_tbu_fluoride, 熔融氟化TBU燃料
fuel_tbu_fluoride_flibe, fuel_tbu_fluoride_flibe, 熔融氟锂铍盐-氟化TBU燃料
gasoline, gasoline, 汽油
gelatin, gelatin, 熔融明胶
glowstone, glowstone, 充能液态荧石
glowstone_nak, glowstone_nak, 共晶钠钾-荧石混合物
glowstone_nak_hot, glowstone_nak_hot, 热共晶钠钾-荧石混合物
gold, gold, 熔融金
gold_nak, gold_nak, 共晶钠钾-金混合物
gold_nak_hot, gold_nak_hot, 热共晶钠钾-金混合物
hard_carbon, hard_carbon, 熔融硬碳
heavywater, heavywater, 重水
helium, helium, 氦气
helium3, helium3, 氦3
high_pressure_steam, high_pressure_steam, 高压蒸汽
hydrated_gelatin, hydrated_gelatin, 水合明胶
hydrofluoric_acid, hydrofluoric_acid, 氢氟酸
hydrogen, hydrogen, 氢
ic2air, ic2air, 空气
ic2biogas, ic2biogas, 沼气
ic2biomass, ic2biomass, 生物质
ic2construction_foam, ic2construction_foam, 建筑泡沫
ic2coolant, ic2coolant, IC2冷却液
ic2creosote, ic2creosote, 杂酚油
ic2distilled_water, ic2distilled_water, 蒸馏水
ic2heavy_water, ic2heavy_water, 重水
ic2hot_coolant, ic2hot_coolant, IC2热冷却液
ic2hot_water, ic2hot_water, 温泉水
ic2hydrogen, ic2hydrogen, 氢气
ic2oxygen, ic2oxygen, 氧气
ic2pahoehoe_lava, ic2pahoehoe_lava, 绳状熔岩
ic2steam, ic2steam, 蒸汽
ic2superheated_steam, ic2superheated_steam, 过热蒸汽
ic2uu_matter, ic2uu_matter, UU物质
ic2weed_ex, ic2weed_ex, 除草剂喷雾
imagproj, imagproj, fluid.imagproj
iron, iron, 熔融铁
iron_nak, iron_nak, 共晶钠钾-铁混合物
iron_nak_hot, iron_nak_hot, 热共晶钠钾-铁混合物
koh, koh, 熔融氢氧化钾
lapis, lapis, 熔融青金石
lapis_nak, lapis_nak, 共晶钠钾-青金石混合物
lapis_nak_hot, lapis_nak_hot, 热共晶钠钾-青金石混合物
lava, lava, 熔岩
lif, lif, 熔融氟化锂
liquid_nitrogen, liquid_nitrogen, 液氮
liquidchlorine, liquidchlorine, 液态氯
liquiddeuterium, liquiddeuterium, 液态氘
liquidethene, liquidethene, 液态乙烯
liquidfusionfuel, liquidfusionfuel, 液态氘氚燃料
liquidhelium, liquidhelium, 液氦
liquidhelium_nak, liquidhelium_nak, 共晶钠钾-氦混合物
liquidhelium_nak_hot, liquidhelium_nak_hot, 热共晶钠钾-氦混合物
liquidhydrogen, liquidhydrogen, 液态氢
liquidhydrogenchloride, liquidhydrogenchloride, 液态氯化氢
liquidlithium, liquidlithium, 液态锂
liquidoxygen, liquidoxygen, 液态氧
liquidsodium, liquidsodium, 液态钠
liquidsulfurdioxide, liquidsulfurdioxide, 液态二氧化硫
liquidsulfurtrioxide, liquidsulfurtrioxide, 液态三氧化硫
liquidtritium, liquidtritium, 液态氚
lithium, lithium, 熔融锂
lithium6, lithium6, 熔融锂-6
lithium7, lithium7, 熔融锂-7
low_pressure_steam, low_pressure_steam, 低压蒸汽
low_quality_steam, low_quality_steam, 低质蒸汽
lubricant, lubricant, 润滑油
magnesium, magnesium, 熔融镁
magnesium_nak, magnesium_nak, 共晶钠钾-镁混合物
magnesium_nak_hot, magnesium_nak_hot, 热共晶钠钾-镁混合物
manganese, manganese, 熔融锰
manganese_dioxide, manganese_dioxide, 熔融二氧化锰
marshmallow, marshmallow, 液态棉花糖
matter_plasma, matter_plasma, 等离子物质
methanol, methanol, 甲醇
milk, milk, 牛奶
milk_chocolate, milk_chocolate, 熔融牛奶巧克力
mist, mist, fluid.mist
molten_tritanium, molten_tritanium, 熔融三钛合金
nak, nak, 共晶钠钾合金
nak_hot, nak_hot, 热共晶钠钾合金
naoh, naoh, 熔融氢氧化钠
napalm, napalm, 凝固汽油
neptunium_236, neptunium_236, 熔融镎-236
neptunium_236_fluoride, neptunium_236_fluoride, 熔融氟化镎-236
neptunium_236_fluoride_flibe, neptunium_236_fluoride_flibe, 熔融氟锂铍盐-氟化镎-236
neptunium_237, neptunium_237, 熔融镎-237
neptunium_237_fluoride, neptunium_237_fluoride, 熔融氟化镎-237
neptunium_237_fluoride_flibe, neptunium_237_fluoride_flibe, 熔融氟锂铍盐-氟化镎-237 
neutron, neutron, 中子流体
nigari, nigari, Bittern
nitrogen, nitrogen, 氮气
oil, oil, 原油
oxygen, oxygen, 氧气
oxygen_difluoride, oxygen_difluoride, 二氟化氧
plantoil, plantoil, 植物油
plasma, plasma, 等离子体
plutonium, plutonium, 熔融钚
plutonium_238, plutonium_238, 熔融钚-238
plutonium_238_fluoride, plutonium_238_fluoride, 熔融氟化钚-238
plutonium_238_fluoride_flibe, plutonium_238_fluoride_flibe, 熔融氟锂铍盐-氟化钚-238
plutonium_239, plutonium_239, 熔融钚-239
plutonium_239_fluoride, plutonium_239_fluoride, 熔融氟化钚-239
plutonium_239_fluoride_flibe, plutonium_239_fluoride_flibe, 熔融氟锂铍盐-氟化钚-239
plutonium_241, plutonium_241, 熔融钚-241
plutonium_241_fluoride, plutonium_241_fluoride, 熔融氟化钚-241
plutonium_241_fluoride_flibe, plutonium_241_fluoride_flibe, 熔融氟锂铍盐-氟化钚-241
plutonium_242, plutonium_242, 熔融钚-242
plutonium_242_fluoride, plutonium_242_fluoride, 熔融氟化钚-242
plutonium_242_fluoride_flibe, plutonium_242_fluoride_flibe, 熔融氟锂铍盐-氟化钚-242
plutonium_fluoride, plutonium_fluoride, 熔融氟化钚
plutonium_fluoride_flibe, plutonium_fluoride_flibe, 熔融氟锂铍盐-氟化钚
poison, poison, 毒液
potassium, potassium, 熔融钾
potassium_fluoride_solution, potassium_fluoride_solution, 氟化钾溶液
potassium_hydroxide_solution, potassium_hydroxide_solution, 氢氧化钾溶液
potion, potion, 药水
preheated_water, preheated_water, 预热水
quartz, quartz, 熔融石英
quartz_nak, quartz_nak, 共晶钠钾-石英混合物
quartz_nak_hot, quartz_nak_hot, 热共晶钠钾-石英混合物
radaway, radaway, 辐射宁流体
radaway_slow, radaway_slow, 缓效辐射宁流体
red_paint, red_paint, Red Paint
redstone, redstone, 不稳定红石
redstone_nak, redstone_nak, 共晶钠钾-红石混合物
redstone_nak_hot, redstone_nak_hot, 热共晶钠钾-红石混合物
sic_vapor, sic_vapor, 碳化硅蒸气
silver, silver, 熔融银
sodium, sodium, 熔融钠
sodium_fluoride_solution, sodium_fluoride_solution, 氟化钠溶液
sodium_hydroxide_solution, sodium_hydroxide_solution, 氢氧化钠溶液
soymilk, soymilk, Soy Milk
soymilk_hell, soymilk_hell, fluid.soymilk_hell
soysauce, soysauce, Soy Sauce
srcrystalfluid, srcrystalfluid, 液态水晶
steam, steam, 蒸汽
sugar, sugar, 糖液
sulfur, sulfur, 熔融硫
sulfur_dioxide, sulfur_dioxide, 二氧化硫
sulfur_trioxide, sulfur_trioxide, 三氧化硫
sulfuric_acid, sulfuric_acid, 硫酸
sulfuricacid, sulfuricacid, 硫酸
tar, tar, 焦油
thorium, thorium, 熔融钍
thorium_230, thorium_230, 熔融钍-230
thorium_230_fluoride, thorium_230_fluoride, 熔融氟化钍-230
thorium_230_fluoride_flibe, thorium_230_fluoride_flibe, 熔融氟锂铍盐-氟化钍-230
thorium_fluoride, thorium_fluoride, 熔融氟化钍
thorium_fluoride_flibe, thorium_fluoride_flibe, 熔融氟锂铍盐-氟化钍
tin, tin, 熔融锡
tin_nak, tin_nak, 共晶钠钾-锡混合物
tin_nak_hot, tin_nak_hot, 热共晶钠钾-锡混合物
tough, tough, 熔融高强合金
toxic_waste, toxic_waste, 有毒废液
tritium, tritium, 氚
unsweetened_chocolate, unsweetened_chocolate, 熔融无糖巧克力
uranium, uranium, 熔融铀
uranium_233, uranium_233, 熔融铀-233
uranium_233_fluoride, uranium_233_fluoride, 熔融氟化铀-233
uranium_233_fluoride_flibe, uranium_233_fluoride_flibe, 熔融氟锂铍盐-氟化铀-233
uranium_235, uranium_235, 熔融铀-235
uranium_235_fluoride, uranium_235_fluoride, 熔融氟化铀-235
uranium_235_fluoride_flibe, uranium_235_fluoride_flibe, 熔融氟锂铍盐-氟化铀-235
uranium_238, uranium_238, 熔融铀-238
uranium_238_fluoride, uranium_238_fluoride, 熔融氟化铀-238
uranium_238_fluoride_flibe, uranium_238_fluoride_flibe, 熔融氟锂铍盐-氟化铀-238
uranium_fluoride, uranium_fluoride, 熔融氟化铀
uranium_fluoride_flibe, uranium_fluoride_flibe, 熔融氟锂铍盐-氟化铀
uranium_hexafluoride, uranium_hexafluoride, 六氟化铀
water, water, 水
white_paint, white_paint, White Paint
xpjuice, xpjuice, 液态经验
yellow_paint, yellow_paint, Yellow Paint
zunda_soymilk, zunda_soymilk, Zunda SoyMilk
#output time is 9 ms.
